2009-01-01 05:06:55.682	MjAwOTAzMDYwMDI5ODc=	5
2009-01-01 06:08:10.210	MjAwOTA5MTAwMDE2MDk=	2
2009-01-01 09:01:23.468	MjAwOTA0MjAwMDU2ODE=	3
2009-01-01 11:16:57.217	MjAwOTEyMDkwMDM4MjM=	1
2009-01-01 13:17:01.167	MjAwOTEyMjcwMDIyNzQ=	5
2009-01-01 22:01:22.283	MjAwOTEyMDIwMDEyOTY=	4
2009-01-02 02:01:55.866	MjAwOTEyMTcwMTMwNzA=	4
2009-01-02 02:33:52.702	MjAwOTA0MjQwMDc1MzI=	5
2009-01-02 03:32:02.149	MjAwOTEwMjcwMTYxNTk=	5
2009-01-02 03:35:48.108	MjAwOTA5MTAwMDE2MDk=	4
2009-01-02 04:10:36.848	MjAwOTAzMjkwMDI3MTA=	1
2009-01-02 10:02:54.425	MjAwOTAzMjkwMDI3MTA=	5
2009-01-02 10:04:00.432	MjAwOTA0MTQwMDUxMDE=	4
2009-01-02 10:10:03.610	MjAwOTA2MjYwMDkxMDQ=	2
2009-01-02 10:16:00.413	MjAwOTA0MTQwMDUxMDE=	4
2009-01-02 11:37:32.381	MjAwOTA3MjQwMDE2NDk=	5
2009-01-02 12:00:55.930	MjAwOTA5MDIwMDkzNTk=	1
2009-01-02 12:12:24.884	MjAwOTA2MjYwMDkxMDQ=	4
2009-01-02 12:19:05.771	MjAwOTA0MjAwMDU2ODE=	1
2009-01-02 12:37:30.503	MjAwOTA0MjAwMDU2ODE=	4
2009-01-02 12:55:12.578	MjAwOTA0MTIwMDE0MTA=	2
2009-01-02 13:00:22.785	MjAwOTA3MjMwMDU0MDA=	2
2009-01-02 13:03:15.171	MjAwOTA0MTIwMDE0MTA=	2
2009-01-02 13:27:25.682	MjAwOTEyMDIwMDEyOTY=	1
2009-01-02 13:30:37.436	MjAwOTAzMjkwMDI3MTA=	4
2009-01-02 13:47:38.420	MjAwOTEyMjcwMDIyNzQ=	1
2009-01-02 13:47:38.420	MjAwOTEyMTcwMTMwNzA=	5
2009-01-02 13:58:43.253	MjAwOTA0MTIwMDE0MTA=	4
2009-01-02 14:02:18.197	MjAwOTEyMDkwMDM4MjM=	3
2009-01-02 14:05:17.130	MjAwOTEyMDIwMDEyOTY=	3
2009-01-02 14:10:19.400	MjAwOTAzMjkwMDI3MTA=	4
2009-01-02 14:11:20.082	MjAwOTAzMjkwMDI3MTA=	2
2009-01-02 14:23:48.904	MjAwOTAzMDYwMDI5ODc=	3
2009-01-02 14:26:25.313	MjAwOTA5MDIwMDkzNTk=	5
2009-01-02 15:04:51.477	MjAwOTA0MjQwMDc1MzI=	2
2009-01-02 15:10:37.121	MjAwOTA2MjYwMDkxMDQ=	3
2009-01-02 15:12:29.080	MjAwOTA5MTAwMDE2MDk=	4
2009-01-02 15:16:42.885	MjAwOTEwMjkwMjAzMTk=	2
2009-01-02 15:35:54.200	MjAwOTEyMTEwMTMyMjE=	5
2009-01-02 15:44:04.674	MjAwOTAzMjkwMDI3MTA=	3
2009-01-02 16:00:00.383	MjAwOTEwMTkwMTEzNDk=	5
2009-01-02 16:06:10.532	MjAwOTAzMjkwMDI3MTA=	2
2009-01-02 16:23:20.814	MjAwOTA0MTIwMDE0MTA=	2
2009-01-02 16:41:08.830	MjAwOTA0MTIwMDE0MTA=	2
2009-01-02 17:28:12.421	MjAwOTEwMTkwMTEzNDk=	4
2009-01-02 17:29:14.359	MjAwOTA0MjQwMDc1MzI=	3
2009-01-02 18:11:22.822	MjAwOTA5MTAwMDE2MDk=	2
2009-01-02 18:11:41.033	MjAwOTA3MjMwMDU0MDA=	2
2009-01-02 18:11:41.033	MjAwOTA0MjQwMDc1MzI=	5
2009-01-02 18:13:17.220	MjAwOTEyMTcwMTMwNzA=	1
2009-01-02 18:25:49.528	MjAwOTEyMDkwMDM4MjM=	4
2009-01-02 18:29:58.956	MjAwOTAzMjkwMDI3MTA=	2
2009-01-02 18:53:01.561	MjAwOTA3MjQwMDE2NDk=	2
2009-01-02 18:54:44.412	MjAwOTA0MjQwMDc1MzI=	2
2009-01-02 18:55:33.459	MjAwOTA0MTIwMDE0MTA=	3
2009-01-02 19:00:10.942	MjAwOTEyMDIwMDEyOTY=	4
2009-01-02 19:01:02.017	MjAwOTEwMjkwMjAzMTk=	5
2009-01-02 19:22:17.534	MjAwOTA0MTQwMDUxMDE=	5
2009-01-02 19:22:31.196	MjAwOTEwMjcwMTYxNTk=	1
2009-01-02 19:36:36.559	MjAwOTEyMjcwMDIyNzQ=	5
2009-01-02 19:37:31.630	MjAwOTA3MjQwMDE2NDk=	1
2009-01-02 19:37:57.066	MjAwOTEyMjcwMDIyNzQ=	1
2009-01-02 20:05:50.540	MjAwOTA0MjQwMDc1MzI=	2
2009-01-02 20:14:39.846	MjAwOTA3MjMwMDU0MDA=	4
2009-01-02 20:30:00.121	MjAwOTEyMDkwMDM4MjM=	1
2009-01-02 20:30:00.121	MjAwOTEyMjcwMDIyNzQ=	5
2009-01-02 20:30:00.142	MjAwOTEyMTcwMTMwNzA=	5
2009-01-02 20:40:05.636	MjAwOTEyMDkwMDM4MjM=	5
2009-01-02 20:40:07.958	MjAwOTAzMDYwMDI5ODc=	1
2009-01-02 20:40:10.576	MjAwOTA5MDIwMDkzNTk=	2
2009-01-02 20:40:12.616	MjAwOTA0MTIwMDE0MTA=	3
2009-01-02 20:40:23.061	MjAwOTA3MjMwMDU0MDA=	3
2009-01-02 20:40:23.077	MjAwOTA0MjQwMDc1MzI=	5
2009-01-02 20:50:08.789	MjAwOTA0MjAwMDU2ODE=	2
2009-01-02 20:50:11.042	MjAwOTAzMDYwMDI5ODc=	2
2009-01-02 20:50:11.160	MjAwOTA5MTAwMDE2MDk=	4
2009-01-02 20:50:13.189	MjAwOTA0MTQwMDUxMDE=	2
2009-01-02 20:50:25.814	MjAwOTA5MDIwMDkzNTk=	1
2009-01-02 21:00:08.804	MjAwOTEwMTkwMTEzNDk=	2
2009-01-02 21:08:02.316	MjAwOTA5MDIwMDkzNTk=	3
2009-01-02 21:15:01.635	MjAwOTA5MDIwMDkzNTk=	5
2009-01-02 21:22:01.545	MjAwOTEwMTkwMTEzNDk=	2
2009-01-02 21:22:06.822	MjAwOTA2MjYwMDkxMDQ=	2
2009-01-02 21:32:19.913	MjAwOTA0MTQwMDUxMDE=	1
2009-01-02 21:39:55.381	MjAwOTAzMjkwMDI3MTA=	3
2009-01-02 21:44:03.707	MjAwOTA0MjAwMDU2ODE=	2
2009-01-02 22:00:10.516	MjAwOTA2MjYwMDkxMDQ=	1
2009-01-02 22:00:10.516	MjAwOTAzMDYwMDI5ODc=	1
2009-01-02 22:00:10.516	MjAwOTEyMDkwMDM4MjM=	4
2009-01-02 22:00:10.516	MjAwOTAzMjkwMDI3MTA=	5
2009-01-02 22:00:10.516	MjAwOTEyMDkwMDM4MjM=	2
2009-01-02 22:00:10.516	MjAwOTA2MjYwMDkxMDQ=	2
2009-01-02 22:00:10.516	MjAwOTEwMjcwMTYxNTk=	5
2009-01-02 22:08:21.261	MjAwOTA2MjYwMDkxMDQ=	4
2009-01-02 22:17:51.663	MjAwOTEyMDkwMDM4MjM=	2
2009-01-02 22:23:56.356	MjAwOTEwMjkwMjAzMTk=	2
